"Date","Weight (lb)","Comments"
"2014-09-25 7:31 AM","197.4",""
"2014-09-25 7:31 AM","197.4",""
"2014-09-17 1:01 PM","193.7",""
"2014-09-12 11:43 AM","196.5",""
"2014-09-12 8:57 AM","195.2",""
"2014-09-12 7:46 AM","196.7",""
"2014-09-09 7:24 AM","193.9",""
"2014-09-05 8:08 AM","193.5",""
"2014-09-03 10:45 AM","193.9",""
"2014-08-30 12:45 PM","194.1",""
"2014-08-29 2:34 PM","194.9",""
"2014-08-28 5:28 PM","194.5",""
"2014-08-27 3:32 PM","194",""
"2014-08-21 8:45 AM","193.3",""
"2014-08-19 12:57 PM","195",""
"2014-08-18 10:32 AM","192.9",""
"2014-08-17 7:47 AM","192.4",""
"2014-08-16 1:22 PM","194",""
"2014-08-13 8:24 AM","194",""
"2014-08-11 2:50 PM","196.4",""
"2014-08-09 3:59 PM","195.6",""
"2014-08-09 1:41 PM","193.2",""
"2014-08-09 11:00 AM","194.8",""
"2014-08-08 7:24 AM","192.4",""
"2014-08-07 8:22 AM","192.3",""
"2014-08-06 6:28 PM","192.6",""
"2014-08-04 7:36 PM","193.8",""
"2014-08-03 12:16 PM","194",""
"2014-08-01 5:08 PM","194",""
"2014-07-31 11:40 AM","194.2",""
"2014-07-29 6:41 PM","194.1",""
"2014-07-28 10:17 AM","194.6",""
"2014-07-24 4:16 PM","191.9",""
"2014-07-24 8:15 AM","193.5",""
"2014-07-23 9:20 AM","191.9",""
"2014-07-23 7:58 AM","193",""
"2014-07-20 10:07 AM","192.7",""
"2014-07-18 7:02 PM","194.6",""
"2014-07-16 5:28 PM","195.2",""
"2014-07-10 6:00 PM","190.7",""
"2014-07-10 9:32 AM","192.3",""
"2014-07-09 11:59 AM","191.5",""
"2014-07-07 3:20 PM","193.8",""
"2014-07-04 11:56 AM","194.1",""
"2014-07-03 12:35 PM","192.9",""
"2014-06-30 11:17 AM","192.7",""
"2014-06-29 1:04 PM","190.6",""
"2014-06-25 12:15 PM","195.3",""
"2014-06-23 6:04 PM","194",""
"2014-06-23 12:43 PM","193.7",""
"2014-06-22 11:02 AM","192.5",""
"2014-06-18 8:37 PM","191.8",""
"2014-06-16 7:13 PM","191.9",""
"2014-06-16 10:11 AM","190.7",""
"2014-06-14 11:14 AM","193.5",""
"2014-06-13 9:41 AM","194.3",""
"2014-06-12 5:14 PM","195.7",""
"2014-06-12 9:00 AM","193",""
"2014-06-11 6:24 PM","192.4",""
"2014-06-10 5:39 PM","192.7",""
"2014-06-08 1:37 PM","194",""
"2014-06-07 11:04 AM","193.8",""
"2014-06-04 8:09 AM","198.6",""
"2014-06-03 5:47 PM","196.8",""
"2014-06-02 11:04 AM","196",""
"2014-06-02 8:56 AM","197",""
"2014-05-31 6:45 PM","197",""
"2014-05-30 4:08 PM","198.5",""
"2014-05-30 8:50 AM","198.3",""
"2014-05-28 6:50 PM","197.7",""
"2014-05-27 7:57 PM","196.8",""
"2014-05-27 6:46 AM","197.2",""
"2014-05-26 8:48 PM","198.7",""
"2014-05-25 2:15 PM","195.9",""
"2014-05-21 8:13 AM","196.4",""
"2014-05-20 8:52 AM","195.7",""
"2014-05-19 7:56 AM","197.1",""
"2014-05-16 5:31 PM","195.2",""
"2014-05-16 9:29 AM","197",""
"2014-05-16 6:52 AM","196.7",""
"2014-05-14 6:31 PM","199.1",""
"2014-05-12 10:16 AM","201.3",""
"2014-05-11 9:25 AM","196.7",""
"2014-05-10 2:55 PM","197.1",""
"2014-05-08 4:34 PM","198.6",""
"2014-05-08 4:33 PM","185.7",""
"2014-05-08 4:33 PM","185.4",""
"2014-05-08 4:32 PM","185.3",""
"2014-05-08 10:43 AM","199.1",""
"2014-05-07 11:48 AM","198.1",""
"2014-05-06 6:03 AM","198.9",""
"2014-05-05 8:39 PM","199.6",""
"2014-05-05 11:13 AM","199.9",""
"2014-05-02 9:17 AM","195.1",""
"2014-05-01 8:40 AM","198.1",""
"2014-04-30 9:15 AM","200.2",""
"2014-04-28 8:57 AM","199.7",""
"2014-04-27 1:49 PM","200",""
"2014-04-26 7:39 PM","197.2",""
"2014-04-26 2:52 PM","199.4",""
"2014-04-26 9:35 AM","198.8",""
"2014-04-25 10:07 PM","203.6",""
"2014-04-25 11:42 AM","198.9",""
"2014-04-24 10:58 PM","200.1",""
"2014-04-24 8:37 AM","199.9",""
"2014-04-23 7:35 AM","200.5",""
"2014-04-22 1:02 PM","200.1",""
"2014-04-21 1:00 PM","202.9",""
"2014-04-20 10:00 AM","201.4",""
"2014-04-19 12:19 PM","201.7",""
"2014-04-19 12:18 PM","201.8",""
"2014-04-18 10:09 AM","200.8",""
"2014-04-17 8:41 AM","198",""
"2014-04-16 5:45 PM","196.2",""
"2014-04-16 5:40 PM","196.9",""
"2014-04-16 8:19 AM","199.1",""
"2014-04-15 8:45 PM","200.7",""
"2014-04-15 1:52 PM","201.5",""
"2014-04-15 12:12 PM","200.9",""
"2014-04-15 7:57 AM","201.3",""
"2014-04-15 7:00 AM","201",""
"2014-04-15 7:00 AM","200.9",""
"2014-04-15 6:45 AM","201.1",""
"2014-04-14 1:43 PM","202.7",""
"2014-04-14 1:42 PM","202.4",""